   4年  1閏, 年均太陽日: 365.250000, 誤差: 0.007810,    128年差一天
   8年  2閏, 年均太陽日: 365.250000, 誤差: 0.007810,    128年差一天
  12年  3閏, 年均太陽日: 365.250000, 誤差: 0.007810,    128年差一天
  16年  4閏, 年均太陽日: 365.250000, 誤差: 0.007810,    128年差一天
  17年  4閏, 年均太陽日: 365.235294, 誤差: 0.006896,    145年差一天
  21年  5閏, 年均太陽日: 365.238095, 誤差: 0.004095,    244年差一天
  25年  6閏, 年均太陽日: 365.240000, 誤差: 0.002190,    457年差一天
  29年  7閏, 年均太陽日: 365.241379, 誤差: 0.000811,   1234年差一天
  33年  8閏, 年均太陽日: 365.242424, 誤差: 0.000234,   4269年差一天
  66年 16閏, 年均太陽日: 365.242424, 誤差: 0.000234,   4269年差一天
  95年 23閏, 年均太陽日: 365.242105, 誤差: 0.000085,  11801年差一天
 100年 24閏, 年均太陽日: 365.240000, 誤差: 0.002190,    457年差一天, 現行格曆規則
 128年 31閏, 年均太陽日: 365.242188, 誤差: 0.000002, 400000年差一天
 256年 62閏, 年均太陽日: 365.242188, 誤差: 0.000002, 400000年差一天
 384年 93閏, 年均太陽日: 365.242188, 誤差: 0.000002, 400000年差一天
 400年 97閏, 年均太陽日: 365.242500, 誤差: 0.000310,   3226年差一天, 現行格曆規格
 512年124閏, 年均太陽日: 365.242188, 誤差: 0.000002, 400000年差一天
 640年155閏, 年均太陽日: 365.242188, 誤差: 0.000002, 400000年差一天
 768年186閏, 年均太陽日: 365.242188, 誤差: 0.000002, 400000年差一天
 896年217閏, 年均太陽日: 365.242188, 誤差: 0.000002, 400000年差一天
1024年248閏, 年均太陽日: 365.242188, 誤差: 0.000002, 400000年差一天

----

1024年248閏, 年均太陽日: 365.2422, 誤差: 0.000002, 400000年差一天
1152年279閏, 年均太陽日: 365.2422, 誤差: 0.000002, 400000年差一天
1280年310閏, 年均太陽日: 365.2422, 誤差: 0.000002, 400000年差一天
1408年341閏, 年均太陽日: 365.2422, 誤差: 0.000002, 400000年差一天
1536年372閏, 年均太陽日: 365.2422, 誤差: 0.000002, 400000年差一天
1569年380閏, 年均太陽日: 365.2422, 誤差: 0.000002, 403342年差一天
1697年411閏, 年均太陽日: 365.2422, 誤差: 0.000002, 475350年差一天
1825年442閏, 年均太陽日: 365.2422, 誤差: 0.000002, 561538年差一天
1953年473閏, 年均太陽日: 365.2422, 誤差: 0.000002, 666553年差一天
2081年504閏, 年均太陽日: 365.2422, 誤差: 0.000001, 797318年差一天
2209年535閏, 年均太陽日: 365.2422, 誤差: 0.000001, 964629年差一天
2337年566閏, 年均太陽日: 365.2422, 誤差: 0.000001, 1186294年差一天
2465年597閏, 年均太陽日: 365.2422, 誤差: 0.000001, 1493939年差一天
2593年628閏, 年均太陽日: 365.2422, 誤差: 0.000001, 1949624年差一天
2721年659閏, 年均太陽日: 365.2422, 誤差: 0.000000, 2694059年差一天
2849年690閏, 年均太陽日: 365.2422, 誤差: 0.000000, 4128985年差一天
2977年721閏, 年均太陽日: 365.2422, 誤差: 0.000000, 8045945年差一天
3105年752閏, 年均太陽日: 365.2422, 誤差: 0.000000, 62100004年差一天
