天象碼,天象,JD,年,月,日,時,分,秒,子輿日,日干支,日干支序
M_2, 望 ,1356186.9013881055,-999,1,5,9,37,59.93231266736984,742916.4013881055,庚申,57
M_3,下弦,1356193.8376487985,-999,1,12,8,6,12.85618856549263,742923.3376487985,丁卯,4
M_0, 朔 ,1356202.024277797,-999,1,20,12,34,57.60165810585022,742931.524277797,乙亥,12
M_1,上弦,1356209.7066688624,-999,1,28,4,57,36.18970915675163,742939.2066688624,癸未,20
M_2, 望 ,1356216.3133912494,-999,2,3,19,31,17.003947645425797,742945.8133912494,己丑,26
M_3,下弦,1356223.5635181214,-999,2,11,1,31,27.96568661928177,742953.0635181214,丁酉,34
M_0, 朔 ,1356231.7047953731,-999,2,19,4,54,54.32023912668228,742961.2047953731,乙巳,42
M_1,上弦,1356239.0155341506,-999,2,26,12,22,22.15061590075493,742968.5155341506,壬子,49
M_2, 望 ,1356245.7348204379,-999,3,5,5,38,8.485830277204514,742975.2348204379,己未,56
M_3,下弦,1356253.3170432644,-999,3,12,19,36,32.53804385662079,742982.8170432644,丙寅,3
M_0, 朔 ,1356261.2651414748,-999,3,20,18,21,48.22342112660408,742990.7651414748,甲戌,11
S_0,春分,1356262.4586128988,-999,3,21,23,0,24.154458940029144,742991.9586128988,乙亥,12
M_1,上弦,1356268.2332217565,-999,3,27,17,35,50.35976395010948,742997.7332217565,辛巳,18
M_2, 望 ,1356275.18338635,-999,4,3,16,24,4.580644369125366,743004.68338635,戊子,25
M_3,下弦,1356283.0595476157,-999,4,11,13,25,44.91399675607681,743012.5595476157,丙申,33
M_0, 朔 ,1356290.7032110638,-999,4,19,4,52,37.435908168554306,743020.2032110638,甲辰,41
M_1,上弦,1356297.425260051,-999,4,25,22,12,22.468399554491043,743026.9252600509,庚戌,47
M_2, 望 ,1356304.6748875566,-999,5,3,4,11,50.28488874435425,743034.1748875566,戊午,55
M_3,下弦,1356312.7584302526,-999,5,11,6,12,8.373820334672928,743042.2584302526,丙寅,3
M_0, 朔 ,1356320.0461152487,-999,5,18,13,6,24.35748741030693,743049.5461152487,癸酉,10
M_1,上弦,1356326.655020266,-999,5,25,3,43,13.750988692045212,743056.1550202661,庚辰,17
M_2, 望 ,1356334.2240715863,-999,6,1,17,22,39.7850538790226,743063.7240715863,丁亥,24
M_3,下弦,1356342.385710331,-999,6,9,21,15,25.372590869665146,743071.8857103309,乙未,32
M_0, 朔 ,1356349.3403234088,-999,6,16,20,10,3.9425231516361237,743078.8403234088,壬寅,39
M_1,上弦,1356355.976189804,-999,6,23,11,25,42.79906824231148,743085.476189804,己酉,46
S_1,夏至,1356356.7102673613,-999,6,24,5,2,47.10001230239868,743086.2102673613,庚戌,47
M_2, 望 ,1356363.8401290402,-999,7,1,8,9,47.14907169342041,743093.3401290402,丁巳,54
M_3,下弦,1356371.922899853,-999,7,9,10,8,58.547296822071075,743101.422899853,乙丑,2
M_0, 朔 ,1356378.6381291156,-999,7,16,3,18,54.355585277080536,743108.1381291156,壬申,9
M_1,上弦,1356385.4289448392,-999,7,22,22,17,40.83410382270813,743114.9289448392,戊寅,15
M_2, 望 ,1356393.516350896,-999,7,31,0,23,32.71742284297943,743123.0163508961,丁亥,24
M_3,下弦,1356401.3686597927,-999,8,7,20,50,52.20608934760094,743130.8686597927,甲午,31
M_0, 朔 ,1356407.9853756728,-999,8,14,11,38,56.458130925893784,743137.4853756728,辛丑,38
M_1,上弦,1356415.0369305855,-999,8,21,12,53,10.802588313817978,743144.5369305855,戊申,45
M_2, 望 ,1356423.2219397891,-999,8,29,17,19,35.59778094291687,743152.7219397891,丙辰,53
M_3,下弦,1356430.7414646898,-999,9,6,5,47,42.549202144145966,743160.2414646898,甲子,1
M_0, 朔 ,1356437.412859087,-999,9,12,21,54,31.025126427412033,743166.9128590871,庚午,7
M_1,上弦,1356444.8007736828,-999,9,20,7,13,6.846191436052322,743174.3007736828,戊寅,15
S_2,秋分,1356448.3387734797,-999,9,23,20,7,50.02864480018616,743177.8387734797,辛巳,18
