冬至JD,冬至日,新月JD,新月日,干支,星期,Delta,Result
2226910.512380672,  1384-12-21 00:17:08Z,2226910.816398350,  1384-12-21T07:34:55Z,甲子,Tue,0.30402,OK
1955169.840111985,  0640-12-21 08:09:03Z,1955170.201217976,  0640-12-21T16:49:03Z,癸亥,Mon,0.36111,同天但不在甲子
1934350.996174044,  0583-12-21 11:53:47Z,1934351.615697236,  0583-12-22T02:45:54Z,甲子,Sun,0.61952,不同日，考慮長安北京時區也不同日
1917549.822057326,  0537-12-21 07:43:04Z,1917548.914005638,  0537-12-20T09:55:28Z,癸亥,Sat,0.90805,不同日，考慮長安北京時區也不同日
1641791.451033375,  -218-12-20 22:48:47Z,1641791.720070897,  -218-12-21T05:16:12Z,甲子,Fri,0.26904,不同日，考慮長安北京時區後同日，但變成乙丑日
1370050.747904388,  -962-12-21 05:56:17Z,1370051.199707003,  -962-12-21T16:46:53Z,甲子,Fri,0.45180,OK，考慮長安後同日，二里頭北京時區不同日
1332430.729932745, -1065-12-21 05:30:24Z,1332429.934979561, -1065-12-20T10:25:40Z,甲子,Wed,0.79495,不同日，考慮長安北京時區也不同日
1098310.066882256, -1706-12-20 13:35:36Z,1098310.845156771, -1706-12-21T08:16:19Z,癸亥,Thu,0.77827,不同日，考慮長安北京時區也不同日
1060690.054295086, -1809-12-20 13:17:29Z,1060689.356653438, -1809-12-19T20:32:53Z,癸亥,Tue,0.69764,不同日，考慮長安北京時區後同日，但變成癸亥日
768130.576425436, -2610-12-20 01:49:21Z,768129.901360553, -2610-12-19T09:37:15Z,甲子,Mon,0.67506,不同日，考慮長安北京時區也不同日

- (理論上)一蔀差 744 年
- 1384-(-962) = 2346 年
