年序,分至,Season,JD,年,月,日,時,分,秒,子輿紀,子輿日,年干支
1,冬至,3,625685.9138978606,-3000,12,20,9,56,0.7751525938510895,0,12415.413897860562,辛酉
1,春分,0,625778.5855809175,-2999,3,23,2,3,14.191275537014008,0,12508.085580917541,辛酉
1,夏至,1,625872.6282698294,-2999,6,25,3,4,42.51326344907284,0,12602.128269829438,辛酉
1,秋分,2,625962.5445891413,-2999,9,23,1,4,12.501805499196053,0,12692.044589141267,辛酉
2,冬至,3,626051.1596411258,-2999,12,20,15,49,52.993270978331566,0,12780.659641125822,壬戌
2,春分,0,626143.8276908175,-2998,3,23,7,51,52.48663477599621,0,12873.327690817532,壬戌
2,夏至,1,626237.8611668264,-2998,6,25,8,40,4.8138052225112915,0,12967.36116682645,壬戌
2,秋分,2,626327.7828968058,-2998,9,23,6,47,22.28402003645897,0,13057.282896805787,壬戌
3,冬至,3,626416.4011128586,-2998,12,20,21,37,36.15097917616367,0,13145.901112858555,癸亥
3,春分,0,626509.0657331947,-2997,3,23,13,34,39.34802211821079,0,13238.5657331947,癸亥
3,夏至,1,626603.102933135,-2997,6,25,14,28,13.422864004969597,0,13332.602933135,癸亥
3,秋分,2,626693.0289040196,-2997,9,23,12,41,37.307295352220535,0,13422.528904019622,癸亥
4,冬至,3,626781.6428865849,-2997,12,21,3,25,45.40093168616295,0,13511.142886584857,甲子
4,春分,0,626874.3051323913,-2996,3,22,19,19,23.43860663473606,0,13603.80513239128,甲子
4,夏至,1,626968.3485509962,-2996,6,24,20,21,54.80606831610203,0,13697.848550996161,甲子
4,秋分,2,627058.2738345586,-2996,9,22,18,34,19.305858984589577,0,13787.773834558553,甲子
5,冬至,3,627146.8906131664,-2996,12,20,9,22,28.977575451135635,0,13876.390613166383,乙丑
5,春分,0,627239.549266785,-2995,3,23,1,10,56.650226935744286,0,13969.049266785034,乙丑
5,夏至,1,627333.5888813639,-2995,6,25,2,7,59.34983745217323,0,14063.08888136386,乙丑
5,秋分,2,627423.5101072707,-2995,9,23,0,14,33.268186300992966,0,14153.010107270675,乙丑
6,冬至,3,627512.1323745636,-2995,12,20,15,10,37.16229535639286,0,14241.632374563604,丙寅
6,春分,0,627604.7957074781,-2994,3,23,7,5,49.12610538303852,0,14334.295707478072,丙寅
6,夏至,1,627698.8355562617,-2994,6,25,8,3,12.061011493206024,0,14428.335556261707,丙寅
6,秋分,2,627788.7591693319,-2994,9,23,6,13,12.23027341067791,0,14518.259169331868,丙寅
7,冬至,3,627877.3803867607,-2994,12,20,21,7,45.4161237180233,0,14606.880386760691,丁卯
7,春分,0,627970.0393441733,-2993,3,23,12,56,39.336570873856544,0,14699.539344173274,丁卯
7,夏至,1,628064.0741634229,-2993,6,25,13,46,47.7197402715683,0,14793.57416342292,丁卯
7,秋分,2,628154.0040777168,-2993,9,23,12,5,52.31473557651043,0,14883.504077716847,丁卯
8,冬至,3,628242.6234706797,-2993,12,21,2,57,47.86672957241535,0,14972.12347067974,戊辰
8,春分,0,628335.2810265162,-2992,3,22,18,44,40.69100193679333,0,15064.781026516226,戊辰
8,夏至,1,628429.3176056913,-2992,6,24,19,37,21.131725162267685,0,15158.817605691263,戊辰
8,秋分,2,628519.2442588027,-2992,9,22,17,51,43.96055616438389,0,15248.744258802733,戊辰
9,冬至,3,628607.8611991932,-2992,12,20,8,40,7.610289752483368,0,15337.361199193168,己巳
9,春分,0,628700.5275070798,-2991,3,23,0,39,36.61169171333313,0,15430.027507079765,己巳
9,夏至,1,628794.5682522788,-2991,6,25,1,38,16.996891871094704,0,15524.068252278841,己巳
9,秋分,2,628884.4919806577,-2991,9,22,23,48,27.128823548555374,0,15613.99198065768,己巳
10,冬至,3,628973.1107725758,-2991,12,20,14,39,30.75055204331875,0,15702.610772575834,庚午
10,春分,0,629065.774022126,-2990,3,23,6,34,35.51168538630009,0,15795.274022125988,庚午
10,夏至,1,629159.8071719677,-2990,6,25,7,22,19.658008888363838,0,15889.307171967695,庚午
10,秋分,2,629249.7304868234,-2990,9,23,5,31,54.06153850257397,0,15979.230486823362,庚午
11,冬至,3,629338.3532904515,-2990,12,20,20,28,44.295005947351456,0,16067.853290451458,辛未
11,春分,0,629431.0132956957,-2989,3,23,12,19,8.748104274272919,0,16160.513295695651,辛未
11,夏至,1,629525.0521031461,-2989,6,25,13,15,1.7118226736783981,0,16254.552103146096,辛未
11,秋分,2,629614.9759218993,-2989,9,23,11,25,19.652100652456284,0,16344.475921899313,辛未
12,冬至,3,629703.5911180706,-2989,12,21,2,11,12.601303830742836,0,16433.091118070646,壬申
12,春分,0,629796.25281091,-2988,3,22,18,4,2.862623557448387,0,16525.752810909995,壬申
12,夏至,1,629890.3002365743,-2988,6,24,19,12,20.440015867352486,0,16619.800236574258,壬申
12,秋分,2,629980.2246649534,-2988,9,22,17,23,31.051975563168526,0,16709.72466495342,壬申
13,冬至,3,630068.8360998195,-2988,12,20,8,3,59.02440592646599,0,16798.336099819513,癸酉
13,春分,0,630161.4964129479,-2987,3,22,23,54,50.078697726130486,0,16890.99641294789,癸酉
13,夏至,1,630255.5399075468,-2987,6,25,0,57,28.01204614341259,0,16985.03990754683,癸酉
13,秋分,2,630345.4638984015,-2987,9,22,23,8,0.8218874037265778,0,17074.963898401475,癸酉
14,冬至,3,630434.075193219,-2987,12,20,13,48,16.69412188231945,0,17163.575193219003,甲戌
14,春分,0,630526.737634101,-2986,3,23,5,42,11.58632218837738,0,17256.23763410095,甲戌
14,夏至,1,630620.7829050481,-2986,6,25,6,47,22.996156588196754,0,17350.28290504811,甲戌
14,秋分,2,630710.7123746127,-2986,9,23,5,5,49.16653633117676,0,17440.21237461269,甲戌
15,冬至,3,630799.3221826103,-2986,12,20,19,43,56.57752834260464,0,17528.82218261028,乙亥
15,春分,0,630891.9760902907,-2985,3,23,11,25,34.20111648738384,0,17621.4760902907,乙亥
15,夏至,1,630986.0195509068,-2985,6,25,12,28,9.1983512789011,0,17715.519550906844,乙亥
15,秋分,2,631075.9568702444,-2985,9,23,10,57,53.5891118645668,0,17805.45687024435,乙亥
16,冬至,3,631164.5680806006,-2985,12,21,1,38,2.163890451192856,0,17894.068080600584,丙子
16,春分,0,631257.2136779733,-2984,3,22,17,7,41.776889115571976,0,17986.713677973254,丙子
16,夏至,1,631351.2586817467,-2984,6,24,18,12,30.10291188955307,0,18080.758681746665,丙子
16,秋分,2,631441.1921799013,-2984,9,22,16,36,44.34347167611122,0,18170.692179901293,丙子
17,冬至,3,631529.8045901831,-2984,12,20,7,18,36.59181788563728,0,18259.304590183077,丁丑
17,春分,0,631622.4558112929,-2983,3,22,22,56,22.09570348262787,0,18351.955811292864,丁丑
17,夏至,1,631716.5044766007,-2983,6,25,0,6,26.778298392891884,0,18446.004476600676,丁丑
17,秋分,2,631806.436816927,-2983,9,22,22,29,0.9824967384338379,0,18535.936816927046,丁丑
18,冬至,3,631895.052709686,-2983,12,20,13,15,54.11686934530735,0,18624.552709685988,戊寅
18,春分,0,631987.7025343375,-2982,3,23,4,51,38.96676242351532,0,18717.202534337528,戊寅
18,夏至,1,632081.739585139,-2982,6,25,5,45,0.1560073345899582,0,18811.239585138974,戊寅
18,秋分,2,632171.6743668444,-2982,9,23,4,11,5.295352041721344,0,18901.174366844352,戊寅
19,冬至,3,632260.2932867785,-2982,12,20,19,2,19.97766226530075,0,18989.7932867785,己卯
19,春分,0,632352.9413397802,-2981,3,23,10,35,31.757011637091637,0,19082.441339780227,己卯
19,夏至,1,632446.9786526088,-2981,6,25,11,29,15.585401505231857,0,19176.478652608814,己卯
19,秋分,2,632536.9162769706,-2981,9,23,9,59,26.330263763666153,0,19266.416276970645,己卯
20,冬至,3,632625.528445808,-2981,12,21,0,40,57.717809826135635,0,19355.028445807984,庚辰
20,春分,0,632718.1805132964,-2980,3,22,16,19,56.3488083332777,0,19447.680513296393,庚辰
20,夏至,1,632812.2250589654,-2980,6,24,17,24,5.094609260559082,0,19541.725058965385,庚辰
20,秋分,2,632902.1623210143,-2980,9,22,15,53,44.535638093948364,0,19631.66232101433,庚辰
21,冬至,3,632990.773821388,-2980,12,20,6,34,18.167925104498863,0,19720.273821388022,辛巳
21,春分,0,633083.4252780037,-2979,3,22,22,12,24.019517675042152,0,19812.925278003677,辛巳
21,夏至,1,633177.4648731002,-2979,6,24,23,9,25.035854279994965,0,19906.964873100165,辛巳
21,秋分,2,633267.3970701306,-2979,9,22,21,31,46.85928091406822,0,19996.897070130566,辛巳
22,冬至,3,633356.0131779911,-2979,12,20,12,18,58.5784350335598,0,20085.513177991146,壬午
22,春分,0,633448.666687642,-2978,3,23,4,0,1.8122680485248566,0,20178.16668764199,壬午
22,夏至,1,633542.7098693028,-2978,6,25,5,2,12.707762718200684,0,20272.20986930281,壬午
22,秋分,2,633632.6422563224,-2978,9,23,3,24,50.94625823199749,0,20362.142256322433,壬午
23,冬至,3,633721.258131441,-2978,12,20,18,11,42.55649909377098,0,20450.75813144096,癸未
23,春分,0,633813.9062754476,-2977,3,23,9,45,2.19867043197155,0,20543.406275447574,癸未
23,夏至,1,633907.951334216,-2977,6,25,10,49,55.27626670897007,0,20637.45133421605,癸未
23,秋分,2,633997.8881396938,-2977,9,23,9,18,55.269541293382645,0,20727.388139693765,癸未
24,冬至,3,634086.5017947019,-2977,12,21,0,2,35.06224483251572,0,20816.001794701908,甲申
